trait	seeds_evaluated	mean_pearson	median_pearson	sd_pearson	min_pearson	mean_r2	median_r2	sd_r2	min_r2	positive_r2_seeds	pearson_gt_0_3_seeds	trait_family	priority_tier	robust_selected
agri_aa_oil__Oil_OIL	5	0.9080653380945763	0.9242944365654668	0.02899721512766113	0.8693603249874591	0.8106132563993436	0.8238067221968607	0.04354503658153149	0.7535148776273317	5	5	oil	high	True
agri_aa_oil__Oil_C18_1	5	0.8720510947035016	0.8775895720930627	0.0395448984066729	0.8333149147535932	0.7559249007332506	0.767657474105121	0.066273504454544	0.6924269075692413	5	5	oil	high	True
agri_aa_oil__Oil_C18_2	5	0.8629390636410367	0.8691610138407025	0.02926063100473152	0.8203111322935153	0.7324331784808759	0.7375859294320112	0.04567839306749084	0.6673309531752691	5	5	oil	high	True
agri_aa_oil__Oil_C20_1	5	0.8093953870693003	0.8375809658137263	0.0791716593714404	0.7094588384609176	0.6461448458283751	0.7007746753613087	0.1382313988076191	0.45811011257026424	5	5	oil	high	True
agri_aa_oil__Oil_C20_0	5	0.8351322496030736	0.8266034671677925	0.033735123048308835	0.7961091981635192	0.6877172102813367	0.6792078554132279	0.058640093925789914	0.6301005538729303	5	5	oil	high	True
agri_aa_oil__Oil_C18_0	5	0.8285669630825012	0.8136822807287903	0.021845032586445847	0.811749129719132	0.6637073580294282	0.6611149613844627	0.059929583709663274	0.5778280474458275	5	5	oil	high	True
agri_aa_oil__Oil_C16_0	5	0.7970414125747626	0.781459395929218	0.059432237785608175	0.7294866159904454	0.6238536798678078	0.5875622626202779	0.09261054244818606	0.5181615092484967	5	5	oil	high	True
agri_aa_oil__Oil_C200_C220	5	0.7373299439478365	0.743426611160785	0.06461908742174009	0.6507377217931687	0.5381387357363715	0.5284105553353284	0.09985777826954942	0.4097499238781057	5	5	oil	high	True
agri_aa_oil__kernellength	5	0.7103379672011021	0.7383214163339435	0.0689037872831691	0.5890299843407728	0.4743296985716861	0.5095653748784621	0.07557699595683771	0.33934438734996	5	5	agronomic	high	True
agri_aa_oil__Oil_C182_C183	5	0.694477169473687	0.7366202720722702	0.07555174935323311	0.5834462276109845	0.46714446351437056	0.5205242096812182	0.09976793473828297	0.3148542960874432	5	5	oil	high	True
agri_aa_oil__Oil_C18_3P	5	0.6742779957521045	0.6728687254986027	0.057354100403273385	0.5925027892583191	0.44779974553450447	0.4427331073688159	0.07548266102140684	0.34999321961234764	5	5	oil	medium	True
agri_aa_oil__Oil_C16_1	5	0.6595664001604645	0.671395961236129	0.08793075226399441	0.564065923608014	0.4185215321403734	0.42759718205999675	0.1206626460863011	0.2747049955934595	5	5	oil	high	True
agri_aa_oil__Headingdate	5	0.6351847427905472	0.6275698583611159	0.05572038182785151	0.558215808865968	0.3735107360625044	0.38579904810874177	0.05963368243650349	0.30661030227110253	5	5	agronomic	medium	True
agri_aa_oil__Oil_C22_0	5	0.5763978819888633	0.6197222379797356	0.07437488436122408	0.45369952327928165	0.3117738909224658	0.36510896491131506	0.10042348474179744	0.1429665329880474	5	5	oil	medium	True
agri_aa_oil__Oil_C24_0P	5	0.6150866121215464	0.6051714604020275	0.04761416292543132	0.5694591023521065	0.3570329419897852	0.3214185024151376	0.07135338094983189	0.3000598820837024	5	5	oil	medium	True
agri_aa_oil__Pollenshed	5	0.6246924720890377	0.603720172320673	0.04775830047816099	0.5836256692684897	0.371428992381811	0.3443519378054537	0.05620058107938677	0.3195623790551545	5	5	agronomic	medium	True
agri_aa_oil__Oil_C18_1P	5	0.5995733838650088	0.5970206808226389	0.07058128019297695	0.4932359107137488	0.32084894040431783	0.34933919828742976	0.09166586742698515	0.16846455364257673	5	5	oil	medium	True
agri_aa_oil__Oil_C18_2P	5	0.552952184677221	0.5958478945236727	0.06596555059439077	0.4746459913521034	0.24655576889331057	0.3056984998797765	0.09503486693370022	0.13567279861497494	5	5	oil	medium	True
agri_aa_oil__Oil_C16_0P	5	0.5799228209562054	0.5938907767121958	0.06161807991506112	0.47651400103990643	0.28862056819940396	0.32168246043941917	0.08126045974057149	0.17491465837867914	5	5	oil	medium	True
agri_aa_oil__Silkingtime	5	0.5757595801725331	0.5918266911138927	0.05145467290864126	0.5231865092340535	0.3170950763263457	0.3415642906026233	0.060833145040648656	0.24356654257461285	5	5	agronomic	medium	True
agri_aa_oil__Oil_SFA_USFA	5	0.5303888700322568	0.5704880936826382	0.09676391647426999	0.3653544020904301	0.24203515677727294	0.3015223638387541	0.11279187418236902	0.08946728552155647	5	5	oil	medium	True
agri_aa_oil__Oil_C160_C180	5	0.572427651053203	0.5602018912790008	0.06305601573816537	0.5030775095401768	0.28192749180439663	0.2995522818594949	0.059213161618581665	0.21193151012325973	5	5	oil	medium	True
agri_aa_oil__Oil_C181_C182	5	0.5454237952927763	0.5521077829131046	0.08305976581617407	0.4505972445088994	0.26716709531935434	0.2882918258181605	0.09606362813366981	0.14720641911306565	5	5	oil	medium	True
agri_aa_oil__Leafnumberaboveear	5	0.539525273434631	0.551313803517062	0.0645823084213889	0.4353808041734674	0.24999197873801857	0.26420366410086293	0.07235887616369796	0.14187465382578146	5	5	agronomic	medium	True
